"Rank","Title","Description","Runtime","Genre","Rating","Metascore","Votes","Director","Main_Actor"
84,"Jai Bhim","When a tribal man is arrested for a case of alleged theft, his wife turns to a human-rights lawyer to help bring justice.",164,"Crime",9.3,NA,174801,"T.J. Gnanavel","Suriya"
85,"After - Depois do Desencontro","Just as Tessa makes the biggest decision of her life, everything changes. Revelations about her family, and then Hardin's, throw everything they knew before in doubt and makes their hard-won future together more difficult to claim.",98,"Drama",4.7,NA,10936,"Castille Landon","Josephine Langford"
86,"Belle","Suzu is a shy high school student living in a rural village. For years, she has only been a shadow of herself. But when she enters ""U"", a massive virtual world, she escapes into her online persona as Belle, a globally-beloved singer.",121,"Animation",7.3,83,4602,"Mamoru Hosoda","Kaho Nakamura"
87,"Um Herói","Rahim is in prison because of a debt he was unable to repay. During a two-day leave, he tries to convince his creditor to withdraw his complaint against the payment of part of the sum. But things don't go as planned.",127,"Drama",7.5,82,17064,"Asghar Farhadi","Amir Jadidi"
88,"Mass","Aftermath of a violent tragedy that affects the lives of two couples in different ways.",111,"Drama",7.7,81,8373,"Fran Kranz","Jason Isaacs"
89,"Mortal Kombat","MMA fighter Cole Young seeks out Earth's greatest champions in order to stand against the enemies of Outworld in a high stakes battle for the universe.",110,"Action",6.1,44,161570,"Simon McQuoid","Lewis Tan"
90,"A Guerra do Amanhã","A family man is drafted to fight in a future war where the fate of humanity relies on his ability to confront the past.",138,"Action",6.6,45,189311,"Chris McKay","Chris Pratt"
91,"Finch","On a post-apocalyptic Earth, a robot, built to protect the life of his creator's beloved dog learns about life, love, friendship and what it means to be human.",115,"Adventure",6.9,57,69543,"Miguel Sapochnik","Tom Hanks"
92,"Cry Macho: O Caminho para Redenção","A one-time rodeo star and washed-up horse breeder takes a job to bring a man's young son home and away from his alcoholic mom. On their journey, the horseman finds redemption through teaching the boy what it means to be a good man.",104,"Drama",5.7,58,21342,"Clint Eastwood","Clint Eastwood"
93,"O Culpado","A demoted police officer assigned to a call dispatch desk is conflicted when he receives an emergency phone call from a kidnapped woman.",90,"Crime",6.3,63,106217,"Antoine Fuqua","Jake Gyllenhaal"
94,"Caminhos da Memória","Nick Bannister, a private investigator of the mind, navigates the alluring world of the past when his life is changed by new client Mae. A simple case becomes an obsession after she disappears and he fights to learn the truth about her.",116,"Mystery",5.9,46,46946,"Lisa Joy","Hugh Jackman"
95,"O Telefone Preto","After being abducted by a child killer and locked in a soundproof basement, a 13-year-old boy starts receiving calls on a disconnected phone from the killer's previous victims.",102,"Horror",7.6,79,595,"Scott Derrickson","Ethan Hawke"
96,"My Son","Driving in the heart of the Highlands, Edmond Murray receives a call from his ex-wife, in tears. Their 7-year-old son went missing from a campsite. Soon it becomes clear that the child was kidnapped and the parents give way to despair.",95,"Crime",6,NA,7881,"Christian Carion","James McAvoy"
97,"The Card Counter","Redemption is the long game in Paul Schrader's THE CARD COUNTER. Told with Schrader's trademark cinematic intensity, the revenge thriller tells the story of an ex-military interrogator turned gambler haunted by the ghosts of his past.",111,"Crime",6.3,77,20893,"Paul Schrader","Oscar Isaac"
98,"The Many Saints of Newark","Witness the making of Tony Soprano. The story that reveals the humanity behind Tony's struggles and the influence his family - especially his uncle, Dickie Moltisanti - had over him becoming the most iconic mob boss of all time.",120,"Crime",6.3,60,43888,"Alan Taylor","Alessandro Nivola"
99,"Clifford, o Gigante Cão Vermelho","A young girl's love for a tiny puppy named Clifford makes the dog grow to an enormous size.",96,"Adventure",6,55,9543,"Walt Becker","Darby Camp"
100,"Em um Bairro de Nova York","A film version of the Broadway musical in which Usnavi, a sympathetic New York bodega owner, saves every penny every day as he imagines and sings about a better life.",143,"Drama",7.3,84,42715,"Jon M. Chu","Anthony Ramos"
